Date,PAKISTAN SMALL GROWTH
2017-06,882.4858982658419
2017-07,815.1532586004585
2017-08,691.3844858018819
2017-09,681.8722617723997
2017-10,636.450628259695
2017-11,622.0874876536994
2017-12,579.3450262149065
2018-01,621.6211279796787
2018-02,610.8669979561072
2018-03,603.534181008635
2018-04,623.1988258301785
2018-05,608.619150515652
2018-06,564.1420609394632
2018-07,565.463405746616
2018-08,565.3858762856922
2018-09,538.4805202956976
2018-10,534.6813872725905
2018-11,493.5754976830053
2018-12,431.74804660064405
2019-01,472.69964967585287
2019-02,462.5623883347061
2019-03,455.12749680327977
2019-04,425.137689544931
2019-05,406.4812633580986
2019-06,351.0006624345512
2019-07,340.10372754830803
2019-08,328.9236679701819
2019-09,348.9997554911428
2019-10,359.40077914443907
2019-11,436.6564810487155
2019-12,434.4260115820319
2020-01,458.31365462381
2020-02,438.07910163626065
2020-03,313.89363551210425
2020-04,391.16317514866864
2020-05,370.80432820162724
2020-06,356.9088186230502
2020-07,395.8037404311105
2020-08,403.4735845555582
2020-09,412.89563298281524
2020-10,430.236426029272
2020-11,426.2541665234175
2020-12,433.3890942188194
2021-01,453.8551111999785
2021-02,501.0002069321572
2021-03,514.4472967122709
2021-04,489.3517844383012
2021-05,516.5480927770952
2021-06,509.58899650200766
2021-07,481.50525471751536
2021-08,476.2915055942458
2021-09,462.86864089761053
2021-10,453.1332537106865
2021-11,419.4615570178565
