Date,GHANA SMALL CAP
2010-11,1000.0
2010-12,1162.4669187238094
2011-01,1082.6829983030345
2011-02,1032.2950033420043
2011-03,1021.9510646221319
2011-04,1064.6290882557682
2011-05,1251.5162736936888
2011-06,1241.893074825765
2011-07,1244.556189010146
2011-08,1170.3829546179777
2011-09,1036.5183612245744
2011-10,861.5529170286753
2011-11,820.940795050631
2011-12,846.0364510080801
2012-01,801.3574686226599
2012-02,772.051098454564
2012-03,745.5140532142661
2012-04,728.4616837112159
2012-05,762.348209374317
2013-11,981.5666516779222
2013-12,923.4552290983899
2014-01,966.6398706805942
2014-02,835.8327697065469
2014-03,863.1397502867143
2014-04,716.0008972321076
2014-05,701.1094615858614
2014-06,669.775813017963
2014-07,626.834058888039
2014-08,528.3179194256733
2014-09,711.885160564248
2014-10,759.6187881664048
2014-11,803.96478072783
2014-12,830.7234711066487
2015-01,863.7013003300508
2015-02,820.5252556352218
2015-03,821.8390431080288
2015-04,789.3542667328597
2015-05,795.9834423982271
2015-06,753.5332739328734
2015-07,853.5170922253193
2015-08,816.4182440715447
2015-09,951.0136274150283
2015-10,921.2530387790868
2015-11,977.8236323263894
