Date,PAKISTAN SMALL GROWTH
2017-05,1000.0
2017-06,894.9046730791275
2017-07,854.4915
2017-08,730.800582
2017-09,716.119914
2017-10,657.189888
2017-11,656.823936
2017-12,616.029785
2018-01,685.725676
2018-02,659.647136
2018-03,656.213786
2018-04,665.3136679678871
2018-05,627.434334769736
2018-06,581.1884210335865
2018-07,583.7970684928024
2018-08,580.449347452464
2018-09,550.6241316135433
2018-10,532.680574231246
2018-11,490.7384793282676
2018-12,433.3988886717603
2019-01,476.29195076412066
2019-02,462.26287790279406
2019-03,447.6184665975629
2019-04,417.2121081952125
2019-05,396.31274917471336
2019-06,349.3841153365473
2019-07,330.98656839549443
2019-08,316.61304711199745
2019-09,331.6970734148638
2019-10,349.2802348590589
2019-11,419.37494049919593
2019-12,424.4818338506874
2020-01,442.1176779776954
2020-02,418.8801372671308
2020-03,299.24812051893986
2020-04,372.24972212888053
2020-05,358.21719761541146
2020-06,347.84109546612416
2020-07,406.1317040926933
2020-08,418.71062334570513
2020-09,419.7436403986214
2020-10,434.25171438405033
2020-11,441.677914497423
2020-12,459.1638638747436
2021-01,477.44765506561686
2021-02,526.1392973855867
2021-03,522.2318420455723
2021-04,508.3744647531895
2021-05,544.9626465216522
2021-06,520.7451533650349
2021-07,492.0050979726488
2021-08,484.4819020131894
2021-09,461.38640524492814
2021-10,449.49711274993854
2021-11,404.45858725752424
